,Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
21,IT Analyst ,Cognizant,3-11yrs  ,"15,10,127",2.1,30.2,4.1,4.9k
22,AST Consultant ,Cognizant,6-15yrs  ,"4,05,068",80.0,7.5,4.1,4.9k
23,Assistant System Engineer ,Cognizant,0-4yrs  ,"10,93,483",1.0,22.0,4.1,4.9k
24,Associate Consultant ,Cognizant,4-21yrs  ,"12,87,353",3.5,30.0,4.1,4.9k
25,Senior Process Associate ,Cognizant,0-11yrs  ,"2,62,336",75.0,6.0,4.1,4.9k
26,Software Engineer ,Cognizant,0-8yrs  ,"8,13,561",1.7,21.0,4.1,4.9k
27,Process Associate ,Cognizant,0-9yrs  ,"5,62,229",1.0,11.0,4.1,4.9k
28,Software Developer ,Cognizant,0-9yrs  ,"4,14,426",2.5,7.0,4.1,4.9k
29,System Engineer Hardware ,Cognizant,0-6yrs  ,"23,02,177",8.7,36.0,4.1,4.9k
30,System Engineer ,Wipro,0-10yrs  ,"5,66,426",1.1,11.1,4.1,4k
31,IT Analyst ,Wipro,3-11yrs  ,"10,16,834",3.2,27.0,4.1,4k
32,AST Consultant ,Wipro,6-15yrs  ,"11,96,016",49.0,26.4,4.1,4k
33,Assistant System Engineer ,Wipro,0-4yrs  ,"3,22,379",90.0,8.6,4.1,4k
34,Associate Consultant ,Wipro,4-21yrs  ,"17,76,351",4.4,33.0,4.1,4k
35,Senior Process Associate ,Wipro,0-11yrs  ,"6,62,508",1.7,23.0,4.1,4k
36,Software Engineer ,Wipro,0-8yrs  ,"11,55,938",1.7,33.4,4.1,4k
37,Process Associate ,Wipro,0-9yrs  ,"10,87,209",2.3,24.6,4.1,4k
38,Software Developer ,Wipro,0-9yrs  ,"9,47,103",2.0,24.8,4.1,4k
39,System Engineer Hardware ,Wipro,0-6yrs  ,"7,23,660",1.8,21.0,4.1,4k
40,System Engineer ,ICICI-Bank,0-10yrs  ,"5,68,297",2.2,10.2,3.9,3.6k
41,IT Analyst ,ICICI-Bank,3-11yrs  ,"6,98,709",47.9,36.0,3.9,3.6k
42,AST Consultant ,ICICI-Bank,6-15yrs  ,"2,91,841",1.3,6.0,3.9,3.6k
43,Assistant System Engineer ,ICICI-Bank,0-4yrs  ,"6,52,385",1.5,14.0,3.9,3.6k
44,Associate Consultant ,ICICI-Bank,4-21yrs  ,"10,83,915",3.2,26.0,3.9,3.6k
45,Senior Process Associate ,ICICI-Bank,0-11yrs  ,"2,55,504",15.0,6.5,3.9,3.6k
46,Software Engineer ,ICICI-Bank,0-8yrs  ,"8,76,623",15.0,16.4,3.9,3.6k
47,Process Associate ,ICICI-Bank,0-9yrs  ,"2,95,272",90.0,7.0,3.9,3.6k
48,Software Developer ,ICICI-Bank,0-9yrs  ,"2,95,581",1.2,5.0,3.9,3.6k
49,System Engineer Hardware ,ICICI-Bank,0-6yrs  ,"2,43,448",18.0,15.0,3.9,3.6k
50,System Engineer ,HDFC-Bank,0-10yrs  ,"5,46,714",2.0,10.0,4.2,3.1k
51,IT Analyst ,HDFC-Bank,3-11yrs  ,"2,50,857",40.0,12.0,4.2,3.1k
52,AST Consultant ,HDFC-Bank,6-15yrs  ,"6,61,811",1.4,18.9,4.2,3.1k
53,Assistant System Engineer ,HDFC-Bank,0-4yrs  ,"2,39,960",20.0,15.2,4.2,3.1k
54,Associate Consultant ,HDFC-Bank,4-21yrs  ,"6,87,078",1.0,13.0,4.2,3.1k
55,Senior Process Associate ,HDFC-Bank,0-11yrs  ,"4,78,094",20.0,8.2,4.2,3.1k
56,Software Engineer ,HDFC-Bank,0-8yrs  ,"13,31,116",3.5,33.0,4.2,3.1k
57,Process Associate ,HDFC-Bank,0-9yrs  ,"7,69,287",1.0,20.0,4.2,3.1k
58,Software Developer ,HDFC-Bank,0-9yrs  ,"2,52,629",15.0,4.5,4.2,3.1k
59,System Engineer Hardware ,HDFC-Bank,0-6yrs  ,"5,12,455",2.5,7.5,4.2,3.1k
60,System Engineer ,Infosys,0-10yrs  ,"7,08,817",3.2,16.0,4.1,2.8k
61,IT Analyst ,Infosys,3-11yrs  ,"4,82,658",2.5,8.1,4.1,2.8k
62,AST Consultant ,Infosys,6-15yrs  ,"3,92,443",2.4,5.6,4.1,2.8k
63,Assistant System Engineer ,Infosys,0-4yrs  ,"12,09,965",5.6,25.0,4.1,2.8k
64,Associate Consultant ,Infosys,4-21yrs  ,"10,55,970",4.0,18.5,4.1,2.8k
65,Senior Process Associate ,Infosys,0-11yrs  ,"7,18,535",1.8,15.0,4.1,2.8k
66,Software Engineer ,Infosys,0-8yrs  ,"9,16,702",3.0,15.0,4.1,2.8k
67,Process Associate ,Infosys,0-9yrs  ,"4,56,033",2.4,7.7,4.1,2.8k
68,Software Developer ,Infosys,0-9yrs  ,"17,47,317",7.0,29.1,4.1,2.8k
69,System Engineer Hardware ,Infosys,0-6yrs  ,"3,91,668",2.8,5.7,4.1,2.8k
70,System Engineer ,Capgemini,0-10yrs  ,"6,37,619",2.5,11.9,4.3,2.6k
71,IT Analyst ,Capgemini,3-11yrs  ,"14,56,736",2.4,27.5,4.3,2.6k
72,AST Consultant ,Capgemini,6-15yrs  ,"9,20,029",1.8,16.0,4.3,2.6k
73,Assistant System Engineer ,Capgemini,0-4yrs  ,"4,88,532",1.0,8.6,4.3,2.6k
74,Associate Consultant ,Capgemini,4-21yrs  ,"5,59,760",1.7,10.6,4.3,2.6k
75,Senior Process Associate ,Capgemini,0-11yrs  ,"3,26,521",1.3,6.5,4.3,2.6k
76,Software Engineer ,Capgemini,0-8yrs  ,"4,36,176",1.3,9.5,4.3,2.6k
77,Process Associate ,Capgemini,0-9yrs  ,"6,32,038",2.0,12.0,4.3,2.6k
78,Software Developer ,Capgemini,0-9yrs  ,"4,02,950",15.0,40.0,4.3,2.6k
79,System Engineer Hardware ,Capgemini,0-6yrs  ,"7,42,595",2.0,18.5,4.3,2.6k
80,System Engineer ,Tech-Mahindra,0-10yrs  ,"6,54,510",1.7,15.5,3.6,2.4k
81,IT Analyst ,Tech-Mahindra,3-11yrs  ,"11,64,536",50.0,26.0,3.6,2.4k
82,AST Consultant ,Tech-Mahindra,6-15yrs  ,"17,97,590",4.4,34.0,3.6,2.4k
83,Assistant System Engineer ,Tech-Mahindra,0-4yrs  ,"7,28,773",2.0,20.0,3.6,2.4k
84,Associate Consultant ,Tech-Mahindra,4-21yrs  ,"4,49,751",1.7,9.6,3.6,2.4k
85,Senior Process Associate ,Tech-Mahindra,0-11yrs  ,"5,53,291",1.8,12.0,3.6,2.4k
86,Software Engineer ,Tech-Mahindra,0-8yrs  ,"9,83,362",15.0,41.5,3.6,2.4k
87,Process Associate ,Tech-Mahindra,0-9yrs  ,"2,58,081",10.0,7.5,3.6,2.4k
88,Software Developer ,Tech-Mahindra,0-9yrs  ,"2,48,876",10.0,12.0,3.6,2.4k
89,System Engineer Hardware ,Tech-Mahindra,0-6yrs  ,"7,14,189",1.2,17.0,3.6,2.4k
90,System Engineer ,Genpact,0-10yrs  ,"4,05,410",90.0,6.6,4.1,2.2k
91,IT Analyst ,Genpact,3-11yrs  ,"3,14,026",80.0,6.5,4.1,2.2k
92,AST Consultant ,Genpact,6-15yrs  ,"5,75,407",1.7,9.1,4.1,2.2k
93,Assistant System Engineer ,Genpact,0-4yrs  ,"3,21,092",1.2,7.5,4.1,2.2k
94,Associate Consultant ,Genpact,4-21yrs  ,"7,15,534",2.5,15.0,4.1,2.2k
95,Senior Process Associate ,Genpact,0-11yrs  ,"4,58,705",1.4,9.0,4.1,2.2k
96,Software Engineer ,Genpact,0-8yrs  ,"17,20,564",5.2,31.0,4.1,2.2k
97,Process Associate ,Genpact,0-9yrs  ,"11,36,896",4.8,18.0,4.1,2.2k
98,Software Developer ,Genpact,0-9yrs  ,"4,79,893",1.5,8.4,4.1,2.2k
99,System Engineer Hardware ,Genpact,0-6yrs  ,"32,89,153",13.0,53.0,4.1,2.2k
100,System Engineer ,Axis-Bank,0-10yrs  ,"5,54,489",2.3,10.3,4.1,2k
101,IT Analyst ,Axis-Bank,3-11yrs  ,"2,48,975",1.1,4.3,4.1,2k
102,AST Consultant ,Axis-Bank,6-15yrs  ,"2,49,834",15.0,6.5,4.1,2k
103,Assistant System Engineer ,Axis-Bank,0-4yrs  ,"6,74,547",1.1,15.5,4.1,2k
104,Associate Consultant ,Axis-Bank,4-21yrs  ,"22,93,521",6.5,43.0,4.1,2k
105,Senior Process Associate ,Axis-Bank,0-11yrs  ,"6,59,924",96.0,24.0,4.1,2k
106,Software Engineer ,Axis-Bank,0-8yrs  ,"2,20,486",10.0,4.5,4.1,2k
107,Process Associate ,Axis-Bank,0-9yrs  ,"14,88,266",4.0,29.0,4.1,2k
108,Software Developer ,Axis-Bank,0-9yrs  ,"2,43,825",21.0,9.0,4.1,2k
109,System Engineer Hardware ,Axis-Bank,0-6yrs  ,"3,69,407",1.4,6.7,4.1,2k
110,System Engineer ,Concentrix-Corporation,0-10yrs  ,"3,05,918",10.0,20.4,4.0,1.9k
111,IT Analyst ,Concentrix-Corporation,3-11yrs  ,"2,86,237",15.0,19.2,4.0,1.9k
112,AST Consultant ,Concentrix-Corporation,6-15yrs  ,"4,37,290",1.5,9.0,4.0,1.9k
113,Assistant System Engineer ,Concentrix-Corporation,0-4yrs  ,"3,82,094",1.5,7.7,4.0,1.9k
114,Associate Consultant ,Concentrix-Corporation,4-21yrs  ,"3,81,905",1.5,6.0,4.0,1.9k
115,Senior Process Associate ,Concentrix-Corporation,0-11yrs  ,"3,59,659",1.3,6.5,4.0,1.9k
116,Software Engineer ,Concentrix-Corporation,0-8yrs  ,"3,08,092",1.1,6.0,4.0,1.9k
117,Process Associate ,Concentrix-Corporation,0-9yrs  ,"4,82,437",1.2,10.5,4.0,1.9k
118,Software Developer ,Concentrix-Corporation,0-9yrs  ,"3,18,502",20.0,7.7,4.0,1.9k
119,System Engineer Hardware ,Concentrix-Corporation,0-6yrs  ,"2,96,999",40.0,7.0,4.0,1.9k
120,System Engineer ,IBM,0-10yrs  ,"12,55,693",1.8,36.0,3.6,1.8k
121,IT Analyst ,IBM,3-11yrs  ,"8,16,147",1.6,29.0,3.6,1.8k
122,AST Consultant ,IBM,6-15yrs  ,"11,64,402",1.0,25.5,3.6,1.8k
123,Assistant System Engineer ,IBM,0-4yrs  ,"15,81,518",5.0,27.0,3.6,1.8k
124,Associate Consultant ,IBM,4-21yrs  ,"14,49,989",3.5,43.0,3.6,1.8k
125,Senior Process Associate ,IBM,0-11yrs  ,"11,28,370",1.3,36.0,3.6,1.8k
126,Software Engineer ,IBM,0-8yrs  ,"6,99,417",2.2,13.5,3.6,1.8k
127,Process Associate ,IBM,0-9yrs  ,"7,52,071",2.0,21.9,3.6,1.8k
128,Software Developer ,IBM,0-9yrs  ,"10,63,535",3.0,20.0,3.6,1.8k
129,System Engineer Hardware ,IBM,0-6yrs  ,"9,16,465",2.5,22.5,3.6,1.8k
130,System Engineer ,Amazon,0-10yrs  ,"3,45,816",60.0,8.6,4.4,1.7k
131,IT Analyst ,Amazon,3-11yrs  ,"4,07,302",2.0,7.0,4.4,1.7k
132,AST Consultant ,Amazon,6-15yrs  ,"3,42,240",1.0,7.0,4.4,1.7k
133,Assistant System Engineer ,Amazon,0-4yrs  ,"5,58,368",1.5,9.5,4.4,1.7k
134,Associate Consultant ,Amazon,4-21yrs  ,"3,06,261",1.0,5.1,4.4,1.7k
135,Senior Process Associate ,Amazon,0-11yrs  ,"4,40,749",2.7,7.3,4.4,1.7k
136,Software Engineer ,Amazon,0-8yrs  ,"4,49,848",1.2,6.7,4.4,1.7k
137,Process Associate ,Amazon,0-9yrs  ,"22,04,355",5.0,51.0,4.4,1.7k
138,Software Developer ,Amazon,0-9yrs  ,"4,01,873",1.7,5.8,4.4,1.7k
139,System Engineer Hardware ,Amazon,0-6yrs  ,"3,45,356",1.8,6.6,4.4,1.7k
140,System Engineer ,Reliance-Jio,0-10yrs  ,"7,82,063",1.9,15.2,4.0,1.6k
141,IT Analyst ,Reliance-Jio,3-11yrs  ,"3,01,494",1.8,4.5,4.0,1.6k
142,AST Consultant ,Reliance-Jio,6-15yrs  ,"2,62,888",10.0,15.2,4.0,1.6k
143,Assistant System Engineer ,Reliance-Jio,0-4yrs  ,"4,19,150",1.5,8.5,4.0,1.6k
144,Associate Consultant ,Reliance-Jio,4-21yrs  ,"2,82,680",1.0,6.5,4.0,1.6k
145,Senior Process Associate ,Reliance-Jio,0-11yrs  ,"29,48,707",12.0,47.5,4.0,1.6k
146,Software Engineer ,Reliance-Jio,0-8yrs  ,"4,21,085",1.2,12.0,4.0,1.6k
147,Process Associate ,Reliance-Jio,0-9yrs  ,"5,57,364",1.1,15.0,4.0,1.6k
148,Software Developer ,Reliance-Jio,0-9yrs  ,"9,55,370",5.4,13.1,4.0,1.6k
149,System Engineer Hardware ,Reliance-Jio,0-6yrs  ,"3,23,933",1.8,5.2,4.0,1.6k
150,System Engineer ,HDB-Financial-Services,0-10yrs  ,"2,33,718",10.0,15.0,3.9,1.5k
151,IT Analyst ,HDB-Financial-Services,3-11yrs  ,"2,33,105",10.0,5.3,3.9,1.5k
152,AST Consultant ,HDB-Financial-Services,6-15yrs  ,"2,13,703",9.5,16.2,3.9,1.5k
153,Assistant System Engineer ,HDB-Financial-Services,0-4yrs  ,"3,63,786",20.0,6.8,3.9,1.5k
154,Associate Consultant ,HDB-Financial-Services,4-21yrs  ,"2,27,368",10.0,4.5,3.9,1.5k
155,Senior Process Associate ,HDB-Financial-Services,0-11yrs  ,"3,40,348",1.8,5.2,3.9,1.5k
156,Software Engineer ,HDB-Financial-Services,0-8yrs  ,"2,37,192",1.0,6.4,3.9,1.5k
157,Process Associate ,HDB-Financial-Services,0-9yrs  ,"3,01,883",10.0,5.6,3.9,1.5k
158,Software Developer ,HDB-Financial-Services,0-9yrs  ,"2,38,823",1.1,4.8,3.9,1.5k
159,System Engineer Hardware ,HDB-Financial-Services,0-6yrs  ,"4,97,617",2.0,7.8,3.9,1.5k
160,System Engineer ,Reliance-Retail,0-10yrs  ,"5,36,964",1.9,12.0,3.8,1.4k
161,IT Analyst ,Reliance-Retail,3-11yrs  ,"3,75,835",1.4,6.3,3.8,1.4k
162,AST Consultant ,Reliance-Retail,6-15yrs  ,"3,27,875",1.3,5.1,3.8,1.4k
163,Assistant System Engineer ,Reliance-Retail,0-4yrs  ,"7,80,775",2.2,17.0,3.8,1.4k
164,Associate Consultant ,Reliance-Retail,4-21yrs  ,"3,60,267",80.0,9.0,3.8,1.4k
165,Senior Process Associate ,Reliance-Retail,0-11yrs  ,"5,26,771",1.4,15.0,3.8,1.4k
166,Software Engineer ,Reliance-Retail,0-8yrs  ,"4,92,857",1.3,9.5,3.8,1.4k
167,Process Associate ,Reliance-Retail,0-9yrs  ,"2,70,983",10.0,13.0,3.8,1.4k
168,Software Developer ,Reliance-Retail,0-9yrs  ,"1,83,509",10.0,12.1,3.8,1.4k
169,System Engineer Hardware ,Reliance-Retail,0-6yrs  ,"2,68,449",25.0,5.5,3.8,1.4k
170,System Engineer ,Teleperformance,0-10yrs  ,"2,89,648",25.0,20.2,3.8,1.3k
171,IT Analyst ,Teleperformance,3-11yrs  ,"2,55,364",10.0,17.1,3.8,1.3k
172,AST Consultant ,Teleperformance,6-15yrs  ,"2,85,644",23.0,25.0,3.8,1.3k
173,Assistant System Engineer ,Teleperformance,0-4yrs  ,"3,08,848",30.0,6.0,3.8,1.3k
174,Associate Consultant ,Teleperformance,4-21yrs  ,"3,47,419",20.0,6.1,3.8,1.3k
175,Senior Process Associate ,Teleperformance,0-11yrs  ,"4,56,232",1.1,12.0,3.8,1.3k
176,Software Engineer ,Teleperformance,0-8yrs  ,"3,58,426",45.0,6.6,3.8,1.3k
177,Process Associate ,Teleperformance,0-9yrs  ,"2,85,124",30.0,20.0,3.8,1.3k
178,Software Developer ,Teleperformance,0-9yrs  ,"4,19,130",1.4,9.5,3.8,1.3k
179,System Engineer Hardware ,Teleperformance,0-6yrs  ,"2,64,628",1.0,4.8,3.8,1.3k
180,System Engineer ,Vodafone-Idea,0-10yrs  ,"13,96,799",5.3,22.0,3.8,1.3k
181,IT Analyst ,Vodafone-Idea,3-11yrs  ,"6,60,172",95.0,10.7,3.8,1.3k
182,AST Consultant ,Vodafone-Idea,6-15yrs  ,"17,07,222",4.4,35.6,3.8,1.3k
183,Assistant System Engineer ,Vodafone-Idea,0-4yrs  ,"2,60,968",25.0,16.3,3.8,1.3k
184,Associate Consultant ,Vodafone-Idea,4-21yrs  ,"2,70,103",75.0,8.2,3.8,1.3k
185,Senior Process Associate ,Vodafone-Idea,0-11yrs  ,"3,72,428",90.0,15.5,3.8,1.3k
186,Software Engineer ,Vodafone-Idea,0-8yrs  ,"2,63,311",90.0,5.5,3.8,1.3k
187,Process Associate ,Vodafone-Idea,0-9yrs  ,"13,30,317",3.6,20.0,3.8,1.3k
188,Software Developer ,Vodafone-Idea,0-9yrs  ,"3,90,752",1.6,5.2,3.8,1.3k
189,System Engineer Hardware ,Vodafone-Idea,0-6yrs  ,"36,19,118",12.0,76.0,3.8,1.3k
190,System Engineer ,Deloitte,0-10yrs  ,"23,82,877",4.0,40.0,3.8,1.3k
191,IT Analyst ,Deloitte,3-11yrs  ,"8,05,999",1.8,14.5,3.8,1.3k
192,AST Consultant ,Deloitte,6-15yrs  ,"10,53,970",2.2,29.0,3.8,1.3k
193,Assistant System Engineer ,Deloitte,0-4yrs  ,"8,87,454",3.5,15.0,3.8,1.3k
194,Associate Consultant ,Deloitte,4-21yrs  ,"17,69,394",6.0,28.2,3.8,1.3k
195,Senior Process Associate ,Deloitte,0-11yrs  ,"7,00,527",2.0,12.0,3.8,1.3k
196,Software Engineer ,Deloitte,0-8yrs  ,"4,40,382",2.1,6.8,3.8,1.3k
197,Process Associate ,Deloitte,0-9yrs  ,"10,27,768",3.4,19.2,3.8,1.3k
198,Software Developer ,Deloitte,0-9yrs  ,"11,10,553",4.9,16.0,3.8,1.3k
199,System Engineer Hardware ,Deloitte,0-6yrs  ,"15,40,021",5.1,24.0,3.8,1.3k
200,System Engineer ,Kotak-Mahindra-Bank,0-10yrs  ,"4,73,063",1.5,8.5,4.1,1.2k
201,IT Analyst ,Kotak-Mahindra-Bank,3-11yrs  ,"5,30,820",1.5,13.5,4.1,1.2k
202,AST Consultant ,Kotak-Mahindra-Bank,6-15yrs  ,"6,95,522",3.0,10.6,4.1,1.2k
203,Assistant System Engineer ,Kotak-Mahindra-Bank,0-4yrs  ,"13,44,058",4.0,22.3,4.1,1.2k
204,Associate Consultant ,Kotak-Mahindra-Bank,4-21yrs  ,"2,78,865",1.1,4.0,4.1,1.2k
205,Senior Process Associate ,Kotak-Mahindra-Bank,0-11yrs  ,"18,02,487",6.6,32.4,4.1,1.2k
206,Software Engineer ,Kotak-Mahindra-Bank,0-8yrs  ,"4,07,601",1.9,6.5,4.1,1.2k
207,Process Associate ,Kotak-Mahindra-Bank,0-9yrs  ,"3,04,754",1.5,4.2,4.1,1.2k
208,Software Developer ,Kotak-Mahindra-Bank,0-9yrs  ,"2,59,145",20.0,6.0,4.1,1.2k
209,System Engineer Hardware ,Kotak-Mahindra-Bank,0-6yrs  ,"7,87,066",1.7,12.7,4.1,1.2k
210,System Engineer ,Reliance-Industries,0-10yrs  ,"5,72,530",1.1,11.0,4.2,1.2k
211,IT Analyst ,Reliance-Industries,3-11yrs  ,"8,19,082",3.7,16.5,4.2,1.2k
212,AST Consultant ,Reliance-Industries,6-15yrs  ,"3,19,756",1.5,5.0,4.2,1.2k
213,Assistant System Engineer ,Reliance-Industries,0-4yrs  ,"5,20,631",60.0,16.0,4.2,1.2k
214,Associate Consultant ,Reliance-Industries,4-21yrs  ,"7,63,323",1.4,16.0,4.2,1.2k
215,Senior Process Associate ,Reliance-Industries,0-11yrs  ,"7,77,460",3.2,12.7,4.2,1.2k
216,Software Engineer ,Reliance-Industries,0-8yrs  ,"4,87,579",1.5,12.0,4.2,1.2k
217,Process Associate ,Reliance-Industries,0-9yrs  ,"2,50,136",10.0,5.3,4.2,1.2k
218,Software Developer ,Reliance-Industries,0-9yrs  ,"6,38,722",10.0,12.5,4.2,1.2k
219,System Engineer Hardware ,Reliance-Industries,0-6yrs  ,"5,87,286",1.0,14.5,4.2,1.2k
220,System Engineer ,Bharti-Airtel,0-10yrs  ,"5,66,164",2.5,10.2,4.3,1.1k
221,IT Analyst ,Bharti-Airtel,3-11yrs  ,"2,41,038",10.0,20.0,4.3,1.1k
222,AST Consultant ,Bharti-Airtel,6-15yrs  ,"2,71,284",30.0,5.3,4.3,1.1k
223,Assistant System Engineer ,Bharti-Airtel,0-4yrs  ,"3,73,619",1.5,6.5,4.3,1.1k
224,Associate Consultant ,Bharti-Airtel,4-21yrs  ,"4,85,568",1.0,8.4,4.3,1.1k
225,Senior Process Associate ,Bharti-Airtel,0-11yrs  ,"3,49,519",10.0,9.0,4.3,1.1k
226,Software Engineer ,Bharti-Airtel,0-8yrs  ,"4,85,606",2.5,10.0,4.3,1.1k
227,Process Associate ,Bharti-Airtel,0-9yrs  ,"5,02,001",1.5,8.0,4.3,1.1k
228,Software Developer ,Bharti-Airtel,0-9yrs  ,"14,24,206",6.0,30.0,4.3,1.1k
229,System Engineer Hardware ,Bharti-Airtel,0-6yrs  ,"3,61,093",2.0,6.0,4.3,1.1k
230,System Engineer ,Tata-Motors,0-10yrs  ,"2,24,904",10.0,12.2,4.1,1.1k
231,IT Analyst ,Tata-Motors,3-11yrs  ,"30,77,109",13.0,49.2,4.1,1.1k
232,AST Consultant ,Tata-Motors,6-15yrs  ,"2,15,494",75.0,3.5,4.1,1.1k
233,Assistant System Engineer ,Tata-Motors,0-4yrs  ,"4,08,845",1.0,14.0,4.1,1.1k
234,Associate Consultant ,Tata-Motors,4-21yrs  ,"1,82,628",15.0,14.4,4.1,1.1k
235,Senior Process Associate ,Tata-Motors,0-11yrs  ,"2,63,946",1.0,4.8,4.1,1.1k
236,Software Engineer ,Tata-Motors,0-8yrs  ,"2,62,501",20.0,28.8,4.1,1.1k
237,Process Associate ,Tata-Motors,0-9yrs  ,"2,65,979",70.0,10.0,4.1,1.1k
238,Software Developer ,Tata-Motors,0-9yrs  ,"15,72,033",5.1,24.5,4.1,1.1k
239,System Engineer Hardware ,Tata-Motors,0-6yrs  ,"1,55,683",10.0,15.0,4.1,1.1k
240,System Engineer ,Flipkart,0-10yrs  ,"2,27,269",15.0,20.5,3.9,1.1k
241,IT Analyst ,Flipkart,3-11yrs  ,"4,96,509",1.0,14.0,3.9,1.1k
242,AST Consultant ,Flipkart,6-15yrs  ,"3,97,447",95.0,6.0,3.9,1.1k
243,Assistant System Engineer ,Flipkart,0-4yrs  ,"4,77,448",1.6,10.7,3.9,1.1k
244,Associate Consultant ,Flipkart,4-21yrs  ,"5,68,379",2.4,8.6,3.9,1.1k
245,Senior Process Associate ,Flipkart,0-11yrs  ,"5,38,870",1.8,8.6,3.9,1.1k
246,Software Engineer ,Flipkart,0-8yrs  ,"2,62,742",8.5,30.0,3.9,1.1k
247,Process Associate ,Flipkart,0-9yrs  ,"4,32,612",2.0,6.1,3.9,1.1k
248,Software Developer ,Flipkart,0-9yrs  ,"1,48,737",10.0,5.0,3.9,1.1k
249,System Engineer Hardware ,Flipkart,0-6yrs  ,"2,61,012",20.0,15.2,3.9,1.1k
250,System Engineer ,WNS,0-10yrs  ,"4,16,925",20.0,10.0,3.6,1k
251,IT Analyst ,WNS,3-11yrs  ,"4,00,067",30.0,7.5,3.6,1k
252,AST Consultant ,WNS,6-15yrs  ,"6,24,319",2.5,14.1,3.6,1k
253,Assistant System Engineer ,WNS,0-4yrs  ,"2,89,814",25.0,5.2,3.6,1k
254,Associate Consultant ,WNS,4-21yrs  ,"13,43,716",5.3,26.0,3.6,1k
255,Senior Process Associate ,WNS,0-11yrs  ,"6,34,281",2.0,13.3,3.6,1k
256,Software Engineer ,WNS,0-8yrs  ,"20,01,566",5.0,39.5,3.6,1k
257,Process Associate ,WNS,0-9yrs  ,"6,94,819",2.0,18.0,3.6,1k
258,Software Developer ,WNS,0-9yrs  ,"2,77,738",60.0,5.0,3.6,1k
259,System Engineer Hardware ,WNS,0-6yrs  ,"5,88,355",2.5,11.2,3.6,1k
260,System Engineer ,IndusInd-Bank,0-10yrs  ,"4,35,211",1.1,8.1,4.0,975
261,IT Analyst ,IndusInd-Bank,3-11yrs  ,"3,41,371",1.7,5.0,4.0,975
262,AST Consultant ,IndusInd-Bank,6-15yrs  ,"4,22,252",1.8,6.0,4.0,975
263,Assistant System Engineer ,IndusInd-Bank,0-4yrs  ,"11,39,780",3.0,27.0,4.0,975
264,Associate Consultant ,IndusInd-Bank,4-21yrs  ,"6,83,974",1.7,20.0,4.0,975
265,Senior Process Associate ,IndusInd-Bank,0-11yrs  ,"7,73,460",2.4,12.6,4.0,975
266,Software Engineer ,IndusInd-Bank,0-8yrs  ,"9,81,475",4.9,16.5,4.0,975
267,Process Associate ,IndusInd-Bank,0-9yrs  ,"9,85,304",3.5,15.7,4.0,975
268,Software Developer ,IndusInd-Bank,0-9yrs  ,"2,65,735",1.6,3.9,4.0,975
269,System Engineer Hardware ,IndusInd-Bank,0-6yrs  ,"5,38,859",2.3,7.5,4.0,975
270,System Engineer ,DXC-Technology,0-10yrs  ,"4,64,998",3.0,7.0,4.0,900
271,IT Analyst ,DXC-Technology,3-11yrs  ,"6,76,812",2.4,14.2,4.0,900
272,AST Consultant ,DXC-Technology,6-15yrs  ,"4,74,306",1.8,7.2,4.0,900
